EG20230328b2,EG20230328b3,EG20230328b5,EG20230330a1,EG20230330a2,EG20230330b1,EG20230330b2,EG20230330b3,EG20230330b4,EG20230330c1,EG20230330c2,EG20230330d1,EG20230330d2,EG20230413a,EG20230413b1,EG20230413b2,EG20230413b3,EG20230413c2,EG20230413c3,EG20230413c4,EG20230413c5
0.070100002,0.073799998,0.0074,0.0264,0.1003,0.15970001,0.0836,0.18099999,0.065700002,0.026799999,0.0040000002,0.035599999,0.0129,0.0704,0.047200002,0.078900002,0.031599998,0.0458,0.060400002,0.32069999,0.0196
0.18430001,0.21340001,0.0272,0.0854,0.2194,0.27959999,0.1987,0.40090001,0.15549999,0.066500001,0.036200002,0.098200001,0.043400001,0.13850001,0.1332,0.1132,0.054699998,0.17479999,0.1243,0.39120001,0.0427
0.3599,0.30289999,0.056400001,0.1349,0.33250001,0.47029999,0.33320001,0.61269999,0.2913,0.1349,0.063500002,0.1715,0.075599998,0.2296,0.1997,0.1637,0.1183,0.35789999,0.17739999,0.47139999,0.064199999
0.4738,0.41710001,0.0986,0.19760001,0.4822,0.67640001,0.4788,0.8046,0.4129,0.1883,0.1016,0.2333,0.1046,0.3452,0.25920001,0.2033,0.18979999,0.5449,0.22229999,0.5402,0.085900001
0.61369997,0.4887,0.1198,0.2472,0.67299998,0.90710002,0.57810003,1.0281,0.55449998,0.2385,0.14659999,0.29929999,0.14489999,0.4127,0.2956,0.25330001,0.2253,0.64090002,0.28639999,0.61210001,0.1054
0.73430002,0.62129998,0.16329999,0.3026,0.80479997,1.2294,0.6512,1.2418,0.63059998,0.31619999,0.176,0.36309999,0.1771,0.49579999,0.35190001,0.3012,0.27200001,0.84530002,0.33700001,0.6591,0.12630001
0.89850003,0.77139997,0.1832,0.36390001,0.93889999,1.4852,0.73320001,1.546,0.78640002,0.4152,0.20559999,0.4296,0.2173,0.56,0.4199,0.366,0.29750001,1.1438,0.3978,0.7306,0.1485
1.0151,0.86860001,0.2208,0.42570001,1.0583,1.7318,0.82959998,1.7574,0.90570003,0.46560001,0.22660001,0.4885,0.24609999,0.68699998,0.48120001,0.41409999,0.32249999,1.5723,0.4535,0.7726,0.1671
1.1049,0.97869998,0.2554,0.47940001,1.2111,1.8593,0.92460001,1.934,1.0517,0.50739998,0.2392,0.57609999,0.27270001,0.7701,0.53399998,0.4813,0.35769999,3.1459999,0.50459999,0.81519997,0.1869
1.1844,1.0628999,0.2728,0.53839999,1.3275,12.0701,1.0174,12.5226,1.1689,0.61180001,0.2771,0.63480002,0.3109,0.85769999,0.56980002,0.52130002,0.38870001,3.6400001,0.60909998,0.85509998,0.2069
1.2599,1.1716,0.31940001,0.5941,1.4294,12.2169,1.1116,12.7463,1.3297,0.6699,0.2949,0.6947,0.34439999,0.96710002,0.62449998,0.57319999,0.40979999,4.6830001,0.65039998,0.93229997,0.2295
1.35,1.2634,0.33790001,0.6498,1.5366,12.3581,1.2227,12.9905,1.451,0.71609998,0.31639999,0.76120001,0.38029999,1.0632,0.69199997,0.62459999,0.43329999,5.2442999,0.6997,1.0151,0.25060001
1.4203,1.3571,0.36070001,0.70090002,1.6309,12.4951,1.3077,13.1658,1.5887001,0.77670002,0.35980001,0.8276,0.4208,1.1337,0.75309998,0.67439997,0.4551,6.5897999,0.7396,1.1315,0.27129999
1.4918,1.4541,0.39500001,0.76310003,1.7403001,12.6919,1.4389,13.3343,1.6603,0.829,0.3935,0.89459997,0.45300001,1.1878999,0.81300002,0.7367,0.47889999,6.7712002,0.79189998,1.1898,0.292
1.6147,1.5668,0.41850001,0.80729997,1.8576,12.8012,1.5443,13.5231,1.7676001,0.89069998,0.44100001,0.95709997,0.4901,1.2667,0.86049998,0.77209997,0.49450001,7.3186002,0.86210001,1.2842,0.3118
1.7079,1.6669,0.47589999,0.85519999,1.9488,12.9718,1.6378,13.7777,1.8503,0.93599999,0.46669999,1.0326,0.51480001,1.3505,0.91280001,0.85350001,0.51389998,7.7993002,0.93370003,1.3893,0.33289999
1.813,1.8223,0.4912,0.89810002,12.2984,13.1258,1.7356,13.967,1.9428999,0.98830003,0.49599999,1.1042,0.54140002,1.4141999,0.96950001,0.89829999,0.5406,7.9954,0.9914,1.4759001,0.3529
1.9762,1.9262,0.5291,0.95139998,12.4366,13.2189,1.8102,14.1907,2.0402999,1.0568,0.5388,1.1873,0.57239997,1.4704,1.0143,0.96219999,0.56529999,8.2488003,1.0549001,1.5476,0.3716
12.0597,3.2958,0.55559999,1.0067,12.5652,13.3262,1.8884,14.3967,3.9475,1.0974,0.5618,1.2584,0.6024,1.5229,1.0818,1.0094,0.58289999,8.4456997,1.115,1.6829,0.39579999
12.1332,3.5829,0.58130002,1.0603,12.664,13.4206,1.9756,14.5977,4.1550999,1.1772,0.59789997,1.3296,0.63419998,1.5768,1.1409,1.058,0.59630001,8.7659998,1.1666,1.7679,0.41549999
12.2332,4.0499001,0.6243,1.1153001,12.821,13.5285,12.1101,14.7856,4.3948998,1.2283,0.6279,1.386,0.66680002,1.6375999,1.2014,1.1176,0.60939997,9.0488005,1.2331001,1.8312,0.4346
12.289,4.1992002,0.648,1.1774,12.8897,13.6438,12.2078,,4.5422001,1.2736,0.64639997,1.4605,0.69989997,1.7015001,1.2643,1.1964,0.63529998,9.2299995,1.2733001,2.0906,0.45089999
12.3471,4.3948002,0.66390002,1.232,13.0196,13.7612,12.2959,,4.9534001,1.331,0.68120003,1.5499001,0.727,1.7638,1.3247,1.2399,0.6821,9.4856005,1.367,2.1928,0.46939999
12.4177,4.6767998,0.71340001,1.2927999,13.1264,13.8946,12.4164,,5.2558999,1.3822,0.71439999,1.6319,0.75220001,1.8532,1.3911999,1.2708,0.77869999,9.7456999,1.4412,2.6177001,0.49349999
12.4798,4.8748002,0.73509997,1.3486,13.2405,14.0143,12.5142,,5.5886998,1.4586999,0.74169999,1.7142,0.78789997,1.9095,1.4514,1.3017,0.84930003,10.1445,1.495,2.7249,0.51279998
12.5516,4.9917002,0.76389998,1.3974,13.3183,14.1286,12.6158,,5.7537999,1.563,0.75880003,1.7788,0.81770003,1.9875,1.4893,1.3463,0.89749998,10.4168,1.5469,3.5199001,0.53149998
12.6106,5.1894999,0.78979999,1.4545,13.4199,14.3011,12.7089,,6.0988002,1.6278,0.80070001,1.8343,0.84789997,2.3325,1.5465,1.4148,0.9303,10.5475,1.6144,5.5697999,0.55440003
12.6702,5.3962002,0.8039,1.5072,13.5171,14.4435,12.8168,,6.3972998,1.6799999,0.84200001,1.9074,0.87440002,2.5328,1.6286,1.4435,0.94980001,10.7306,1.7048,5.6405001,0.57139999
12.7363,5.6469002,0.8477,1.5634,13.6175,14.6082,12.8838,,6.5559001,1.7503999,0.86299998,1.9864,0.90009999,2.6526999,1.6945,1.4923,0.98269999,10.8736,1.7616,6.0300002,0.59039998
12.8126,6.0815001,0.90490001,1.6151,13.7303,14.7764,12.986,,6.7479,1.7977,0.88419998,2.8032999,0.92720002,3.1313,1.7544,1.5433,1.0735,11.221,1.8248,6.8408999,0.6099
12.8717,6.2851,0.9253,1.659,13.8348,14.8957,13.0528,,6.9264002,1.8356,0.90219998,3.0493,0.95370001,3.1989,1.814,1.5818,1.1343,11.344,1.8707,7.2318001,0.6286
12.9381,6.4948001,0.94309998,1.7079999,13.9276,,13.1873,,7.3041,1.9040999,0.91710001,3.4956,0.98699999,3.3417001,1.8909,1.6101,1.2017,11.5765,1.9421,7.5323,0.6523
12.9975,6.6497002,0.97570002,1.7521,14.0467,,13.272,,7.5030999,1.9866,0.949,3.7381001,1.021,3.4893999,1.9511,1.6555001,1.2171,11.839,,7.6321001,0.67070001
13.0602,6.8993001,0.99260002,1.8043,14.1662,,13.4337,,7.684,3.3032999,0.98100001,3.8029001,1.0513,3.6262,2.0336001,1.7081,1.2327,12.9851,,7.7298999,0.69550002
13.1345,7.1492,1.0163,1.8526,14.3313,,13.5163,,7.7842002,3.4360001,1.011,3.9863999,1.0773,3.8434999,2.1036999,1.7469,1.2862,13.2388,,7.8051,0.71689999
13.2058,7.3407001,1.0367,1.8986,14.4431,,13.6534,,8.1795998,3.5495999,1.0382,4.0952001,1.1073999,3.9454999,2.1760001,1.8042001,1.3142999,13.4321,,7.9474001,0.73570001
13.3017,7.5945001,1.0513,1.9551001,14.5671,,13.7707,,8.3957996,3.6536,1.0594,4.2989001,1.1418,4.1037002,2.2478001,1.8973,1.3369,13.5707,,8.0419998,0.75520003
13.3766,8.3964005,1.1076,2.0044,14.657,,13.8638,,8.6407003,3.7558999,1.0944999,4.4015999,1.1763999,4.2360001,2.3262999,,1.3613,13.8787,,8.1761999,0.77359998
13.4722,8.5959997,1.1271,2.1210001,14.7841,,14.0101,,8.7921,3.8945,1.1253999,4.5373998,1.2007999,4.3372998,2.4047,,1.3889,14.2737,,8.3052998,0.7924
13.534,8.8051004,1.1476001,2.1853001,14.9173,,14.1184,,8.9940996,4.0033002,1.1465,4.5934,1.223,4.4905,2.4809999,,1.411,14.4871,,8.5108004,0.81199998
13.6222,8.9885998,1.1855,2.2716999,,,14.2306,,9.1836004,4.2228999,1.1763999,4.7030001,1.2462,4.7016001,2.5732999,,1.4241,14.6799,,8.5976,0.83630002
13.6914,9.2279997,1.2138,2.3417001,,,14.3158,,9.5993004,4.3263998,1.2287,4.7964001,1.2725,4.8853998,2.6544001,,1.451,,,8.6780996,0.8549
13.7646,9.3868999,1.2822,2.4261,,,14.3962,,9.9025002,4.3961,1.2436,4.9524999,1.2972,5.0492001,2.7247,,1.4737,,,8.7959003,0.8775
13.8472,9.6463003,1.2957,2.4971001,,,14.4993,,10.1933,4.4756999,1.2666,5.0878,1.3168,5.1957998,2.8267,,1.5177,,,10.0361,0.8933
13.9117,9.8044004,1.3326,2.5797999,,,14.6069,,10.597,4.5551,1.3023,5.2374001,1.3421,5.2454,2.9105999,,1.5538,,,10.1385,0.90979999
13.9777,10.0739,1.3573,2.6642001,,,14.7508,,10.8969,4.6138,1.3207,5.3481998,1.3745,5.3903999,2.9923,,1.5808001,,,10.391,0.92629999
14.0526,10.2775,1.3864,2.7711,,,14.8736,,11.3562,4.6662998,1.3777,5.4450002,1.4068,5.4959002,3.0602,,1.5944999,,,10.4929,0.94940001
14.1219,10.4543,1.416,2.8327,,,,,11.6483,4.7395,1.4074,5.5517998,1.4388,5.8404002,3.1591001,,1.628,,,10.6965,0.96869999
14.1927,10.594,1.4507999,2.9057,,,,,11.9381,4.8218999,1.4366,5.6422,1.4624,5.9421,3.2362001,,1.6608,,,10.832,0.98769999
14.2714,10.7822,1.4779,2.9856999,,,,,12.0433,4.8741002,1.4618,5.7433,1.4881001,6.0994,3.3253,,1.7156,,,10.9965,1.0067
14.3525,10.9987,1.5766,3.0671,,,,,12.1326,4.9551001,1.4907,5.8439002,1.5143,6.2456999,3.3854001,,1.7378,,,11.0891,1.0218
14.444,11.1862,1.5934,3.1303,,,,,12.2182,5.1153002,1.5433,6.0517998,1.5470001,6.4559999,3.4491,,1.767,,,11.1725,1.0418
14.5175,11.4116,1.62,3.1953001,,,,,12.3659,5.1879001,1.6068,6.1950002,1.5822999,6.7451,3.5235,,1.7989,,,11.2868,1.0632
14.6027,11.6869,1.6562999,3.2672,,,,,12.4872,5.2624998,1.6253999,6.2863998,1.6104,6.8853002,3.6031001,,1.8396,,,11.3927,1.0829
14.7287,11.8819,1.6832,3.3392999,,,,,12.6006,5.3211002,1.6506,6.3525,1.6368001,7.1532001,3.6928999,,1.8825001,,,11.5028,1.1005
14.8793,12.0445,1.7062,3.4208,,,,,12.7069,5.3663998,1.6698999,6.5458002,1.6618,7.2849002,3.7746999,,1.9165,,,11.5945,1.1216
14.961,12.1198,1.7294,3.4814,,,,,12.8119,5.4383998,1.7115999,6.6339002,1.6935,7.4882002,3.8531001,,1.9464,,,11.8761,1.1434
,12.2142,1.7519,3.6252999,,,,,12.9105,5.5332999,1.7291,6.7042999,1.7162,7.5971999,3.9468,,1.9608001,,,11.9448,1.1625
,12.3093,1.7807,3.6886001,,,,,13.0063,5.6174998,1.7553999,6.7930999,1.7429,7.8421998,4.0386,,1.9747,,,12.0031,1.1835001
,12.4004,1.7941,3.7749,,,,,13.1364,5.6764002,1.8167,6.8815999,1.7678,8.0421,4.1736999,,1.9960999,,,12.0696,1.2048
,12.4716,1.8368,3.8324001,,,,,13.2448,5.7298999,1.8363,6.9907999,1.7917,8.5487003,4.2494001,,2.023,,,12.1117,1.2248
,12.5472,1.8608,3.9029,,,,,13.346,5.7834001,1.8636,7.0988998,1.8164999,8.7038002,4.3161001,,2.0480001,,,12.1657,1.2435
,12.6465,1.8845,3.9886,,,,,13.4319,5.842,1.8932,7.1834998,1.842,9.0966997,4.3832998,,2.0565,,,12.2228,1.2604001
,12.7413,1.9018,4.0872002,,,,,13.5523,5.9177999,1.9177999,7.2901001,1.8693,9.4558001,4.4668002,,2.0816,,,12.2778,1.2814
,12.8092,1.9556,4.1466999,,,,,13.6801,5.9934001,1.9455,7.3463001,1.902,9.5465002,4.5577998,,2.1033001,,,12.3219,1.2986
,12.9111,1.9808,4.2301998,,,,,13.8191,6.0746999,1.9641,7.4292002,1.9328001,9.6070004,4.6222,,2.1222,,,12.3815,1.3168
,13.0139,2.1256001,4.2985001,,,,,13.9195,6.1444998,1.9944,7.4906001,1.966,9.6997004,4.7151999,,2.1408,,,12.4474,1.339
,13.1095,2.1436,4.3762999,,,,,14.0107,6.2315998,2.0167,7.5843,1.9960001,9.7847004,4.7788,,2.1824,,,12.5205,1.3566999
,13.1911,2.2341001,4.4370999,,,,,14.2146,6.3677001,2.0383,7.6531,2.0411999,9.8453999,4.8477998,,2.3710999,,,12.6138,1.3782001
,13.2716,2.3546,4.5230999,,,,,14.389,6.4835,2.0674,7.7347002,2.0904,9.9475002,4.9225998,,2.5666001,,,12.6877,1.3940001
,13.3568,2.3980999,4.5766001,,,,,14.5767,6.5657001,2.0894001,7.8870001,2.1273,10.1546,4.9889002,,2.5982001,,,12.7473,1.4124
,13.4484,2.4463,4.6328001,,,,,14.7274,6.6336002,2.1142001,8.0541,2.1489,10.3924,5.0927,,2.6982999,,,12.8145,1.4311
,13.5569,2.4991,4.7220998,,,,,14.9183,6.7410998,2.1452,8.1408005,2.1833999,10.5031,5.1838002,,2.7672,,,12.912,1.4524
,13.6479,2.5397999,4.7999001,,,,,,6.8379002,2.1747,8.2033005,2.2300999,10.7961,5.2565999,,2.8232,,,13.0168,1.4694
,13.737,2.5841,4.8748002,,,,,,6.9161,2.1946001,8.2950001,2.2818999,10.956,5.3583999,,2.8475001,,,13.084,1.4852999
,13.8152,2.6280999,4.9492998,,,,,,6.9770002,2.2362001,8.3879995,2.3036001,11.0948,5.4320998,,2.9108,,,13.1674,1.5007
,13.9103,2.6953001,5.0324998,,,,,,7.0274,2.2729001,8.4497004,2.3364,11.2035,5.4974999,,2.9342,,,13.2431,1.5183001
,14.0155,2.7804999,5.0890999,,,,,,7.0846,2.2957001,8.5474997,2.3873,11.3049,5.5602002,,3.0181999,,,13.3598,1.5366
,14.1443,2.7939999,5.1499,,,,,,7.1300001,2.3276,8.6366997,2.4284999,11.5482,5.6385002,,3.0311,,,13.497,1.5585001
,14.251,2.8387001,5.2231002,,,,,,7.1820998,2.3545001,8.6985998,2.4539001,11.78,5.7024999,,3.131,,,13.5728,1.579
,14.3628,2.8522,5.2873998,,,,,,7.2985001,2.3757,8.7851,2.4856999,11.9489,5.7852998,,3.155,,,13.6496,1.5964
,14.4691,2.8982999,5.4043002,,,,,,7.3455,2.4196,8.8802996,2.5318,12.0627,5.8539,,3.1831999,,,13.7501,1.6151
,14.5455,2.9375,5.4745002,,,,,,7.3895001,2.4779,9.0459995,2.5546,12.1282,5.9110999,,3.2072999,,,13.8422,1.6322
,14.6378,2.9482999,5.5419998,,,,,,7.4397001,2.5120001,9.1353998,2.5836999,12.1959,5.9784002,,3.2969,,,13.921,1.6493
,14.733,2.9767001,5.6286001,,,,,,7.4843998,2.5446,9.2347002,2.6345999,12.2645,6.0332999,,3.3290999,,,14.0829,1.6686
,14.8226,2.9904001,5.7179999,,,,,,7.5341001,2.5725999,9.3324003,2.6743,12.3388,6.0960002,,3.3539,,,14.1765,1.6887
,14.8986,3.0056,5.7888999,,,,,,7.5682998,2.5994,9.4336996,2.7021,12.4206,6.1922002,,3.3734,,,14.264,1.7101001
,,3.0713,5.8534999,,,,,,7.6127,2.6235001,9.5438995,2.7276001,12.4971,6.3059001,,3.4054999,,,14.318,1.7292
,,3.0839,5.9404998,,,,,,7.6655998,2.6535001,9.6049995,2.7528999,12.5465,6.3743,,3.4482999,,,14.407,1.7479
,,3.096,6.0355,,,,,,7.7219,2.6868,9.7809,2.7885001,12.5949,6.4268999,,3.5199001,,,14.4653,1.7659
,,3.1336999,6.1025,,,,,,7.7778001,2.7165999,9.8492002,2.8318,12.6505,6.4993,,3.5632,,,14.5225,1.7869999
,,3.1538,6.1752,,,,,,7.8353,2.7530999,9.9293003,2.8756001,12.7086,6.5780001,,3.6157999,,,14.567,1.8051
,,3.1954999,6.2396002,,,,,,7.8899999,2.7751999,10.0329,2.8985,12.7748,6.6564999,,3.6812999,,,14.6252,1.8265001
,,3.2226,6.3053999,,,,,,7.9475002,2.825,10.1425,2.9344001,12.8362,6.7223001,,3.7172,,,14.8974,1.845
,,3.2423,6.3748002,,,,,,8.0127001,2.8641,10.237,2.9793999,12.897,6.7817001,,3.8483,,,,1.8683
,,3.2897999,6.4313002,,,,,,8.0728998,2.8893001,10.3048,3.0243001,12.9559,6.8495002,,3.8810999,,,,1.8872
,,3.3036001,6.4893999,,,,,,8.1444998,2.9126,10.3901,3.0466001,13.0117,6.9397998,,3.8952,,,,1.9082
,,3.342,6.6331,,,,,,8.2952995,2.931,10.4855,3.0899,13.0639,7.0258002,,3.9149001,,,,1.9269
,,3.3563001,6.6985002,,,,,,8.3549004,2.9438,10.5782,3.1235001,13.1451,7.1631999,,4.0609002,,,,1.9481
,,3.3947999,6.7800002,,,,,,8.4124002,2.9935,10.689,3.1526,13.1962,7.2266002,,4.0857,,,,1.9651
,,3.4208,6.8353,,,,,,8.4747,3.0142,10.7788,3.1853001,13.2712,7.2995,,4.1047001,,,,1.9852999
,,3.4344001,6.8948998,,,,,,8.5523996,3.0337,10.8497,3.2249,13.3747,7.3771,,4.1403999,,,,2.0311
,,3.4528,6.9699001,,,,,,8.6128998,3.0657001,10.9338,3.2449,13.4474,7.4394999,,4.1696,,,,2.0455
,,3.4877,7.0317998,,,,,,8.6845999,3.0887001,11.0423,3.2797,13.5064,7.5137,,4.1872001,,,,2.0754001
,,3.5023,7.0862002,,,,,,8.7679005,3.1276,11.1762,3.3220999,13.5643,7.5822001,,4.2020001,,,,2.0901999
,,3.5367999,7.1368999,,,,,,8.8351002,3.1649001,11.2548,3.3434,13.6202,7.6869998,,4.2185998,,,,2.1222
,,3.5536001,7.2880998,,,,,,8.9039001,3.2061,11.3352,3.3738,13.6833,7.7460999,,4.276,,,,2.1355
,,3.5878,7.3527999,,,,,,8.9892998,3.2277999,11.4194,3.3963001,13.7352,7.8292999,,4.3088999,,,,2.1482
,,3.6040001,7.3990998,,,,,,9.0819998,3.2439001,11.5021,3.4284999,13.7848,7.8969998,,4.3305998,,,,2.1756999
,,3.6417,7.4790001,,,,,,9.1417999,3.2918,11.5899,3.4539001,13.8382,7.9594998,,4.3442998,,,,2.1963999
,,3.6905,7.5363998,,,,,,9.1934996,3.3318,11.6892,3.4879999,13.8855,8.0177002,,4.3653002,,,,2.2261
,,3.7381999,7.5960999,,,,,,9.2455997,3.3701999,11.7531,3.5281999,13.949,8.0733004,,4.3825998,,,,2.2432001
,,3.7997,7.6539001,,,,,,9.3444996,3.3882999,11.8767,3.5727,14.0152,8.1393995,,4.3987999,,,,2.2774
,,3.842,7.7403998,,,,,,9.4194002,3.4029,11.9434,3.5922,14.0817,8.2060003,,4.4155998,,,,2.2932
